-  Abegondo;"""43.2184939762857,-8.2890124770"""
-  Ames;"""42.8841849072648,-8.6403250106"""
-  Aranga;"""43.2107419658129,-8.0278871819"""
-  Ares;"""43.4336003570998,-8.2570838928"""
-  Arteixo;"""43.3281553882311,-8.5183455111"""
-  Arzua;"""42.9293501612933,-8.1755514844"""
-  Bana-A;"""42.9621445823726,-8.7515867872"""
-  Bergondo;"""43.3231082759161,-8.2337613839"""
-  Betanzos;"""43.2747821827078,-8.2295578777"""
-  Boimorto;"""43.0224715196062,-8.1383118339"""
-  Boiro;"""42.6519470011236,-8.8782630110"""
-  Boqueixon;"""42.8145871178792,-8.4066212408"""
-  Brion;"""42.8517892577184,-8.7173363707"""
-  Cabana-de-Bergantinos;"""43.2064307829304,-8.9003233131"""
-  Cabanas;"""43.4293064833771,-8.1340142078"""
-  Camarinas;"""43.1686375126414,-9.1594257277"""
-  Cambre;"""43.292845768824,-8.34136722384"""
-  Capela-A;"""43.4361449890804,-8.0443044933"""
-  Carballo;"""43.2228201272605,-8.6704841843"""
-  Carino;"""43.7366853230588,-7.8869000694"""
-  Carnota;"""42.847177113373,-9.12952477129"""
-  Carral;"""43.2225992286908,-8.3375902710"""
-  Cedeira;"""43.6797064857947,-8.0208784632"""
-  Cee;"""42.9557001102448,-9.1898488998"""
-  Cerceda;"""43.1644615445189,-8.4821570691"""
-  Cerdido;"""43.6145878486392,-7.9541053938"""
-  Cesuras;"""43.1660868723282,-8.2112717746"""
-  Coiros;"""43.2541249636225,-8.1518767609"""
-  Corcubion;"""42.9277952845147,-9.1973266588"""
-  Coristanco;"""43.17198025247,-8.770213666518"""
-  Coruna-A;"""43.3712591584685,-8.4188010207"""
-  Culleredo;"""43.2767075108108,-8.3773870690"""
-  Curtis;"""43.1476291302196,-8.0491163868"""
-  Dodro;"""42.7249758506528,-8.7035375794"""
-  Dumbria;"""43.0135500743694,-8.6892610048"""
-  Fene;"""43.4656103579351,-8.1575761181"""
-  Ferrol;"""43.5033672405079,-8.2277297973"""
-  Fisterra;"""42.9224017009153,-9.2665286137"""
-  Frades;"""43.0423804136433,-8.2833156480"""
-  Irixoa;"""43.2942646045007,-8.0785780103"""
-  Laracha-A;"""43.2596076017116,-8.5735272429"""
-  Laxe;"""43.2092422488263,-9.0129947662"""
-  Lousame;"""42.7686297083302,-8.8299614307"""
-  Malpica-de-Bergantinos;"""43.3149367612477,-8.8227081298"""
-  Manon;"""43.6840691532428,-7.7163093413"""
-  Mazaricos;"""42.942833336394,-8.98567204924"""
-  Melide;"""42.9342972001074,-8.0435202595"""
-  Mesia;"""43.0896387938169,-8.2447817533"""
-  Mino;"""43.3515185156581,-8.1766967978"""
-  Moeche;"""43.5665343534035,-7.9691525143"""
-  Monfero;"""43.3539719606781,-8.0323369133"""
-  Mugardos;"""43.456408035828,-8.24661254882"""
-  Muros;"""42.7753693840343,-9.0593433380"""
-  Muxia;"""43.0675338229117,-9.2222053675"""
-  Naron;"""43.5333416138171,-8.2006158890"""
-  Neda;"""43.5005389523293,-8.1362364027"""
-  Negreira;"""42.9109490266786,-8.8051034680"""
-  Noia;"""43.361631,-8.411064"""
-  Oleiros;"""43.3725879144944,-8.3373297981"""
-  Ordes;"""43.0879655380708,-8.3973677908"""
-  Oroso;"""43.0021402822116,-8.3797702552"""
-  Ortigueira;"""43.6728903191824,-7.8391903584"""
-  Outes;"""42.8369237275842,-8.9130973430"""
-  Oza-dos-Rios;"""43.2074166251364,-8.1554974127"""
-  Paderne;"""43.2919886384181,-8.1572109440"""
-  Padron;"""42.7612567212154,-8.6313034971"""
-  Pino-O;"""42.9582882030266,-8.3027199889"""
-  Pobra-do-Caraminal-A;"""43.361631,-8.411064"""
-  Ponteceso;"""43.2667858066134,-8.9154893519"""
-  Pontedeume;"""43.4011397610288,-8.1767528261"""
-  Pontes-de-Garcia-Rodriguez-As;"""43.361631,-8.411064"""
-  Porto-do-Son;"""42.6928926819194,-8.9964768758"""
-  Rianxo;"""42.6714810966105,-8.7844316521"""
-  Ribeira;"""42.5421231859306,-9.0177343832"""
-  Rois;"""42.7939451681635,-8.7024655039"""
-  Sada;"""43.3664678134276,-8.2706058166"""
-  San-Sadurnino;"""43.5245036827665,-8.0156521046"""
-  Santa-Comba;"""43.0197980904395,-8.8249327906"""
-  Santiago-de-Compostela;"""42.8802410974538,-8.5473632812"""
-  Santiso;"""42.8657251085473,-8.0786129807"""
-  Sobrado;"""43.0469261002374,-8.0335737174"""
-  Somozas-As;"""43.5326539133184,-7.9108627416"""
-  Teo;"""42.793368693953,-8.55972511410"""
-  Toques;"""42.9833333,-7.9666667"""
-  Tordoia;"""43.0861770594335,-8.5418152873"""
-  Touro;"""42.8471332587279,-8.3044343489"""
-  Trazo;"""42.9960270571066,-8.5253894273"""
-  Val-do-Dubra;"""43.0121783943204,-8.6521045993"""
-  Valdovino;"""43.6093580970646,-8.1115150451"""
-  Vedra;"""42.7883223602399,-8.4753861877"""
-  Vilarmaior;"""43.348782175422,-8.11832261781"""
-  Vilasantar;"""43.0638053573694,-8.1045137211"""
-  Vimianzo;"""43.1138229575717,-9.0235423526"""
-  Zas;"""43.1030839551369,-8.9264199082"""
